"File Path: C:\Users\Administrator\Desktop\BME_labs\2026\Group 1\G1_Sample_2 26-02-2026 17 11 25\DAQ- Time, … - (Timed).csv   
Test: Solution
Test Run: G1_Sample_2
Date: 26/02/2026 17:04:07

"
"cycle_nb","Time ","Axial Force ","Axial Displacement "
"cycle_nb","sec","N","mm"
"1","7.9716796875","-45.4950714111328","-0.0418826930399518"
"1","7.9814453125","-45.5260581970215","-0.0410833963542245"
"1","7.9912109375","-45.2568435668945","-0.0412130357290152"
"1","8.0009765625","-44.4356536865234","-0.0414651622122619"
"1","8.0107421875","-43.3519554138184","-0.0407892475777771"
"1","8.0205078125","-42.3579330444336","-0.0405076134484261"
"1","8.0302734375","-42.3512420654297","-0.0401231664000079"
"1","8.0400390625","-42.7100028991699","-0.0395295028283726"
"1","8.0498046875","-42.5747756958008","-0.0398558368033264"
"1","8.0595703125","-41.5490112304688","-0.039045811718097"
"1","8.0693359375","-40.6329765319824","-0.0391674038837664"
"1","8.0791015625","-39.6939811706543","-0.0385764251404908"
"1","8.0888671875","-39.3894119262695","-0.0380676974600647"
"1","8.0986328125","-39.1956367492676","-0.0377234828192741"
"1","8.1083984375","-39.3331718444824","-0.0378629556507804"
"1","8.1181640625","-38.3175926208496","-0.0372791291738395"
"1","8.1279296875","-37.1102600097656","-0.0362089267582633"
"1","8.1376953125","-36.0944557189941","-0.0368893161066808"
"1","8.1474609375","-35.8139572143555","-0.0360578305844683"
"1","8.1572265625","-35.9975624084473","-0.0357055650965776"
"1","8.1669921875","-36.1348457336426","-0.0358557699655648"
"1","8.1767578125","-36.2173652648926","-0.0356599703081883"
"1","8.1865234375","-35.1615104675293","-0.03506451685098"
"1","8.1962890625","-33.7451515197754","-0.03437608393142"
"1","8.2060546875","-33.0111198425293","-0.0341838604072109"
"1","8.2158203125","-32.8331832885742","-0.0342696912412066"
"1","8.2255859375","-33.1662826538086","-0.0335258228005841"
"1","8.2353515625","-32.6730499267578","-0.0329187496390659"
"1","8.2451171875","-32.2609252929688","-0.0335419172188267"
"1","8.2548828125","-31.2717475891113","-0.0333935022354126"
"1","8.2646484375","-30.3808498382568","-0.032094420021167"
"1","8.2744140625","-30.2269153594971","-0.0322097548632883"
"1","8.2841796875","-30.1756057739258","-0.0318583843181841"
"1","8.2939453125","-30.285228729248","-0.0317510966851842"
"1","8.3037109375","-30.2034759521484","-0.0311127296299674"
"1","8.3134765625","-29.1530418395996","-0.0312808151647914"
"1","8.3232421875","-27.9895915985107","-0.0306209913105704"
"1","8.3330078125","-27.3359985351563","-0.0301828986266628"
"1","8.3427734375","-27.3632659912109","-0.0299745806842111"
"1","8.3525390625","-27.4876842498779","-0.0296509260806488"
"1","8.3623046875","-27.072582244873","-0.0288087121589342"
"1","8.3720703125","-26.6532936096191","-0.0293692937702872"
"1","8.3818359375","-25.8100738525391","-0.0290143489110051"
"1","8.3916015625","-25.0231513977051","-0.0282919409073656"
"1","8.4013671875","-24.7758846282959","-0.027163625418325"
"1","8.4111328125","-24.9155426025391","-0.0281614065897884"
"1","8.4208984375","-25.246166229248","-0.0273621080850717"
"1","8.4306640625","-23.9125785827637","-0.0273254518106114"
"1","8.4404296875","-23.7634773254395","-0.026671887098928"
"1","8.4501953125","-22.1770915985107","-0.0263732672465267"
"1","8.4599609375","-21.8297729492188","-0.0261211389442906"
"1","8.4697265625","-22.042407989502","-0.0256133080256404"
"1","8.4794921875","-21.7275848388672","-0.0253745911322767"
"1","8.4892578125","-21.5192108154297","-0.0252932313742349"
"1","8.4990234375","-20.9978561401367","-0.0246852632699301"
"1","8.5087890625","-20.2411937713623","-0.0244072070927359"
"1","8.5185546875","-19.6180267333984","-0.0239959354075836"
"1","8.5283203125","-19.3318691253662","-0.0237384447245859"
"1","8.5380859375","-19.6640148162842","-0.0238135453400901"
"1","8.5478515625","-20.1731033325195","-0.0238689772231737"
"1","8.5576171875","-19.1079597473145","-0.0232672682614066"
"1","8.5673828125","-18.1641273498535","-0.0225502244575182"
"1","8.5771484375","-17.1468734741211","-0.0219565627048723"
"1","8.5869140625","-16.9501361846924","-0.0219288467633305"
"1","8.5966796875","-17.0582504272461","-0.0216150292544626"
"1","8.6064453125","-17.0562515258789","-0.0213763123610988"
"1","8.6162109375","-16.6683368682861","-0.021132231267984"
"1","8.6259765625","-16.5042057037354","-0.0207236407732125"
"1","8.6357421875","-15.4366159439087","-0.020462572138058"
"1","8.6455078125","-14.8026361465454","-0.0199171900021611"
"1","8.6552734375","-15.1757707595825","-0.0201585880859056"
"1","8.6650390625","-15.1203384399414","-0.0205627075047232"
"1","8.6748046875","-14.6714458465576","-0.0193449850485194"
"1","8.6845703125","-14.4634771347046","-0.0195050233742222"
"1","8.6943359375","-13.668984413147","-0.01864224759629"
"1","8.7041015625","-12.8971090316772","-0.0184893615369219"
"1","8.7138671875","-12.6323804855347","-0.0178125501406612"
"1","8.7236328125","-12.6908721923828","-0.0174692268046783"
"1","8.7333984375","-12.9742498397827","-0.0176060202647932"
"1","8.7431640625","-12.6880922317505","-0.0171142819453962"
"1","8.7529296875","-11.945273399353","-0.0163784625328844"
"1","8.7626953125","-11.1796846389771","-0.0158903003466548"
"1","8.7724609375","-10.7767248153687","-0.0162228934641462"
"1","8.7822265625","-10.9633474349976","-0.0156524783960776"
"1","8.7919921875","-10.9248189926147","-0.0149890784086892"
"1","8.8017578125","-11.0411319732666","-0.0151169297168963"
"1","8.8115234375","-10.6891613006592","-0.0142720346048009"
"1","8.8212890625","-9.68589019775391","-0.0143203142215498"
"1","8.8310546875","-9.27540016174316","-0.0146350266732043"
"1","8.8408203125","-9.0329532623291","-0.014007389836479"
"1","8.8505859375","-9.53012657165527","-0.0134611127577955"
"1","8.8603515625","-9.40474700927734","-0.0132983923322172"
"1","8.8701171875","-9.09528732299805","-0.012765526662406"
"1","8.8798828125","-8.45171070098877","-0.0126037002701196"
"1","8.8896484375","-8.04462909698486","-0.012004673408228"
"1","8.8994140625","-7.54283285140991","-0.0117418167064898"
"1","8.9091796875","-7.65383720397949","-0.0113832948045456"
"1","8.9189453125","-7.90569925308228","-0.0113707783384598"
"1","8.9287109375","-7.65819549560547","-0.0105276703834534"
"1","8.9384765625","-7.41166973114014","-0.0106260176835349"
"1","8.9482421875","-6.57736301422119","-0.0099420549304341"
"1","8.9580078125","-5.97483015060425","-0.0099420549304341"
"1","8.9677734375","-6.14056825637817","-0.00933408773562405"
"1","8.9775390625","-6.39951324462891","-0.00925809126783861"
"1","8.9873046875","-6.64205741882324","-0.00871628526510904"
"1","8.9970703125","-6.43605852127075","-0.00890225146576995"
"1","9.0068359375","-5.4974250793457","-0.00817894942883868"
"1","9.0166015625","-4.8062949180603","-0.00780791015131399"
"2","9.0263671875","-5.03829193115234","-0.00729918474462465"
"2","9.0361328125","-5.13201570510864","-0.00734299419491435"
"2","9.0458984375","-5.05297422409058","-0.00720173102308763"
"2","9.0556640625","-5.33348894119263","-0.0068244339672674"
"2","9.0654296875","-4.3166241645813","-0.00678867081660428"
"2","9.0751953125","-3.53101634979248","-0.00650882702757372"
"2","9.0849609375","-3.70847535133362","-0.00565588470635703"
"2","9.0947265625","-4.4095516204834","-0.00636219965599594"
"2","9.1044921875","-5.07466983795166","-0.00659555189486127"
"2","9.1142578125","-5.56987237930298","-0.00695139169692993"
"2","9.1240234375","-5.72467231750488","-0.00677436582918745"
"2","9.1337890625","-5.19879150390625","-0.00715255737304688"
"2","9.1435546875","-4.8402419090271","-0.00743776581657585"
"2","9.1533203125","-5.5063796043396","-0.00804662704467773"
"2","9.1630859375","-6.27133989334106","-0.00807076685305219"
"2","9.1728515625","-7.03023767471313","-0.00819593697087839"
"2","9.1826171875","-7.18421316146851","-0.00909805294213584"
"2","9.1923828125","-6.94905853271484","-0.00893980268301675"
"2","9.2021484375","-7.32322692871094","-0.00944137536862399"
"2","9.2119140625","-7.21015501022339","-0.0098857281045639"
"2","9.2216796875","-8.01282024383545","-0.00952988830249524"
"2","9.2314453125","-8.73195934295654","-0.0108718868432334"
"2","9.2412109375","-9.438232421875","-0.0109237435026444"
"2","9.2509765625","-9.17765331268311","-0.0113645191959222"
"2","9.2607421875","-8.64413070678711","-0.0113001469799201"
"2","9.2705078125","-8.63541412353516","-0.0106859206425725"
"2","9.2802734375","-9.51718997955322","-0.0112026928036357"
"2","9.2900390625","-10.4473161697388","-0.012103915651096"
"2","9.2998046875","-10.8857593536377","-0.0130963326228084"
"2","9.3095703125","-11.4679660797119","-0.0125938649944146"
"2","9.3193359375","-10.9184627532959","-0.0126010181702441"
"2","9.3291015625","-10.5293607711792","-0.013532638149627"
"2","9.3388671875","-11.2309122085571","-0.0133574012579629"
"2","9.3486328125","-11.8924674987793","-0.0138115883601131"
